en,vi
Median surgery time was 182.5 minutes.,"Thời gian phẫu thuật trung vị là 182,5 phút."
Ratio of male / female = 1.1/1.,"Tỉ lệ nam / nữ = 1, 1/1."
+ Diagnosis rely mainly on clinical manifestations and ultrasound images with sensitivity of 89.6% and positive diagnosis value of 95.5%.,"+ Chẩn đoán chủ yếu dựa vào lâm sàng và hình ảnh siêu âm với độ nhạy 89,6% và giá trị chẩn đoán dương là 95,5%."
Health education needs to be strengthened.,Giáo dục sức khoẻ cần được tăng cường nhiều hơn nữa.
Background: Quality of life is an important aspect which has been most considered by society and government.,Đặt vấn đề: Chất lượng cuộc sống là một khía cạnh quan trọng mà xã hội và các cấp chính quyền đang rất quan tâm.
Background: Health literacy is the cognitive and social skills which determine the motivation and ability of inviduals to gain access understand and use information in ways which promote and maintain good health.,"Đặt vấn đề: Văn hoá sức khoẻ là khả năng nhận thức và những kỹ năng xã hội của mỗi cá nhân đối với việc tiếp cận, hiểu biết, sử dụng những thông tin hiện có để duy trì và tăng cường tình trạng sức khoẻ của bản thân."
Keywords: Health literacy.,Từ khoá: Văn hoá sức khoẻ.
"The mean of the facet inclination angle is 62.70 ± 5.70, range from 470 to 780.","Số đo góc nghiêng diện khớp sên sau trung bình là: 62,70 ± 5,70, phạm vi từ 470-780."
"There is no difference between the sexes, left and right, two age groups.","Không có sự khác biệt giữa hai giới, hai bên phải trái, hai nhóm tuổi."
There is a positive correlation between the calcaneal angles representing the posterior facet.,Có mối tương quan thuận giữa các góc xương gót đại diện cho diện khớp sên sau.
Methods: Cross-sectional study.,Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang.
Introduction: Related substance is an important criteria to evaluate drug's quality.,Mở đầu: Tạp chất liên quan là chỉ tiêu quan trọng để xác định chất lượng nguyên liệu làm thuốc.
The male / female ratio was 0.94 / 1.,"Tỉ lệ nam / nữ là 0,9 4/1."
Background: Gallbladder carcinoma is a rare disease with a late diagnosis and poor prognosis.,"Đặt vấn đề: Ung thư túi mật là bệnh hiếm gặp tuy nhiên có tiên lượng xấu, thường được phát hiện muộn."
An accurate differentiation between these two groups is very important for treatment planning.,Việc chẩn đoán chính xác trước phẫu thuật giữa hai nhóm bệnh này rất quan trọng.
Either reason of first-drinking alcohol or of second one is to communicate.,Lý do uống rượu bia lần đầu cũng như lần sau là vì muốn giao tiếp.
Background: Coma is a common clinical situations in clinical practice and is a manifestation of many different pathological.,Mở đầu: Hôn mê là một tình huống lâm sàng thường gặp trong thực hành lâm sàng và là biểu hiện của nhiều bệnh lý khác nhau.
Conclusion: The frequency of dementia after non-trauma coma is 77%.,Kết luận: Tần suất sa sút trí tuệ sau hôn mê do nguyên nhân nội khoa là 77%.
Object and Methods: Prospective longitudinal describes study.,"Đối tượng và Phương pháp: Nghiên cứu tiền cứu, mô tả dọc."
Performed in 356 patients over a coma alive after 3 months.,Thực hiện ở 356 BN qua được hôn mê còn sống sau 3 tháng.
Assessed by MMSE scale and diagnosed according to DSM - IV criteria.,Đánh giá bằng thang điểm MMSE và chẩn đoán theo tiêu chuẩn DSM-IV.
"Male / female=3, 5/1.","Nam chiếm nhiều hơn nữ, gấp 3,5 lần nữ."
"Result: good scar 94, 4%; bad scar 5, 6%.","Kết quả sẹo tốt 94,4%; sẹo xấu 5,6%."
Background: Arterial blood gas (ABG) is not only a useful but necessary tool in the department of emergency and resuscitation.,Đặt vấn đề: Khí máu động mạch (KMĐM) là một công cụ hữu ích và rất cần thiết ở khoa Hồi sức cấp cứu.
Most of cases have been done in intraperitoneal.,Đa phần PTNS robot được thực hiện qua ngã trong phúc mạc.
Pathological features and categorization of endometrial diseases,Đặc điểm giải phẫu bệnh và phân loại tổn thương nội mạc tử cung
"The most common diseases are endometrial hyperplasia, which happens in 117 out of 152 cases (77%).",Tổn thương thường gặp nhất là TSNMTC 117/152 ca (77%).
Stricture of the ureter: 20% (5TH).,Hẹp niệu quản: 20% (5 TH).
"This is safe, effective and invasive.","Đây là phương pháp an toàn, ít xâm hại với độ chính xác cao."
Background: Sepsis and septic shock is the serious illness and mortality rate is high.,"Đặt vấn đề: Nhiễm khuẩn huyết (NKH) - choáng nhiễm khuẩn là một bệnh lý nặng, tỷ lệ tử vong cao."
Background: Hyaline membrane disease (HMD) is very common disease in preterm neonates that is caused by the deficiency of surfactant substance in the alveoli.,"Bệnh màng trong (BMT) là một bệnh phổ biến ở giai đoạn sơ sinh, đặc biệt ở trẻ đẻ non mà nguyên nhân đã được biết rõ là do thiếu chất hoạt diện (Surfactant) ở phổi."
Modified early warning score values in emergency patients,Giá trị tiên đoán của chỉ số cảnh báo sớm ở người bệnh cấp cứu
"Background: Modified Early Warning Score - Morgan 1997s revised early risk warning score is a leading tool for assessing a patients risk of early cardiac arrest based on five physiological parameters: blood pressure systolic, heart rate, respiratory rate, temperature and AVPU score of perception.","Đặt vấn đề: Thang điểm MEWS - Modified Early Warning Score - Điểm cảnh báo nguy cơ sớm được sửa đổi của Morgan 1997 là một công cụ hàng đầu để đánh giá nguy cơ ngưng tim sớm của NB dựa trên năm thông số sinh lý: huyết áp tâm thu, nhịp tim, nhịp hô hấp, nhiệt độ và điểm AVPU về tình trạng tri giác."
"Conclusion: Use MEWS scores consistent with professional activities of the Emergency Department Keywords: MEWS, cardiac arrest risk warning","Kết luận: Sử dụng điểm số MEWS phù hợp với hoạt động chuyên môn của Khoa Cấp cứu. Từ khoá: MEWS, cảnh báo nguy cơ ngưng tim"
"MEWS is a validated algorithm used clinically in emergency hospitalization to identify cardiac arrest, unnecessary hospital death.","Thang điểm MEWS là một thuật toán được xác nhận sử dụng lâm sàng trong nhập viện khẩn cấp để xác định NB bị ngừng tim, tử vong tại bệnh viện không cần thiết."
"Keywords: PDCA (Plan-Do-Check-Act), SOP (Standard Operating Procedure), WI (Work Instruction).","Từ khoá: PDCA, quy trình kỹ thuật, SOP, WI, tỉ lệ tuân thủ."
We also compare our results with other local and foreign researchers to confirm the accuracy of this technique.,Việc so sánh đối chiếu kết quả này với các tác giả khác trong và ngoài nước cũng được bàn luận để khẳng định giá trị của kỹ thuật.
Conclusion: These results indicate that PCR technique can be used to detect Philadelphia chromosome.,Kết luận: Những kết quả trên cho thấy có thể dùng kỹ thuật PCR để phát hiện nhiễm sắc thể Philadelphia.
"Keywords: Health care associated infection (HCAI), Hand hygiene, disinfectant, coverage rate.","Từ khoá: Nhiễm khuẩn bệnh viện, vệ sinh tay, hoá chất sát khuẩn, độ che phủ."
"Method: Empirical description, prospective; stratified random sampling method (n=410).","Phương pháp nghiên cứu: Thực nghiệm mô tả, tiền cứu; thu thập mẫu theo phương pháp ngẫu nhiên phân tầng (n= 410)."
Method: Retrospective case series.,Phương pháp nghiên cứu: Nghiên cứu hồi cứu hàng loạt ca.
"Results: Percentage of students has the correct knowledge, attitude and practice is 84%, 86% 14%, respectively.","Kết quả: Tỷ lệ học sinh có kiến thức đúng là 84%, thái độ tích cực 86%, thực hành đúng là 14%."
The male: female ratio was 29: 12.,Tỉ lệ nam / nữ là 29/12.
Introduction: The tibial plateau fractures were treated by arthroscopic reduction and internal fixation (ARIF) with two or three screws at least.,Giới thiệu: Các gãy xương vùng mâm chày đã được nắn dưới nội soi và đã được kết hợp xương bên trong tối thiểu bằng hai hoặc ba vít xốp.
"This technique had been introduced by many advantages: better visualisation, less traumatic surgery, reconstruction of accompanying injuries.","Phương pháp này đã được một số tác giả giới thiệu với kết quả tốt vì đây là phẫu thuật ít xâm nhập, giúp phục hồi chính xác mặt khớp."
"At the early stage we start applying this technique for patients of tibial fracture grade I, II and III as per Schatzker's clasification that we realised in our department.","Chúng tôi bước đầu ứng dụng kỹ thuật này cho các bệnh nhân có gãy mâm chày độ I, II, III theo phân loại của Schatzker."
The mean length of admission was 3.8 days.,"Thời gian nằm viện trung bình là 3,8 ngày."
Methods: This is a cross-sectional study.,Phương pháp nghiên cứu: Nghiên cứu cắt ngang.
The same spinal anaesthesia procedure was applied for all patients.,Tất cả các BN được áp dụng gây tê tuỷ sống tương tự nhau.
"Background: Chronic obstructive pulmonary disease (COPD) is the global burden, especially in developing countries.","Đặt vấn đề: BPTNMT đang là gánh nặng bệnh tật toàn cầu, đặc biệt ở những nước phát triển."
"Keywords: Community-acquired pneumonia, intensive respiratory and vasopressor support (IRVS), severity score.","Từ khoá: viêm phổi cộng đồng, nhu cầu hồi sức hô hấp / sử dụng vận mạch, điểm đánh giá độ nặng."
33/156 patients (21%) with CAP were followed in ICU.,33 trong số 156 bệnh nhân (21%) viêm phổi cộng đồng được điều trị tại Hồi sức tích cực.
Subjects and method: cross-sectional and observational study.,Đối tượng và phương pháp: Thiết kế nghiên cứu: cắt ngang - mô tả.
Permanent spinal traction was applied between the two stages.,Cột sống được kéo dãn liên tục giữa hai thì mổ.
Materials and methods: Prospective study of cases series.,Đối tượng và phương pháp nghiên cứu: Nghiên cứu tiền cứu mô tả hàng loạt trường hợp.
The mean operative time was 190 - 270 minutes.,Thời gian mổ trung bình 190 – 270 phút.
"Treament of this benign tumors are the endoscopic surgery (85, 7%).","Hầu hết u lành tính được phẫu thuật qua nội soi mũi xoang (6/7 # 85,7%)."
The recurrent is unpreditable.,Tỷ lệ tái phát chưa đánh giá được.
Diagnosing intracranial aneurysms with mr angiography,Chẩn đoán túi phình động mạch não bằng cộng hưởng từ mạch máu
Method: Retrospective and cross sectional descriptive study.,” Phương pháp nghiên cứu: Nghiên cứu tiền cứu và mô tả cắt ngang.
Conclusion: Phenotyped blood units are used to reduce the immunological risk of transfusion,"Kết luận: Cần chọn lựa và thực hiện truyền hồng cầu phenotype trên những bệnh nhân nhận máu nhiều lần, nhằm nâng cao an toàn truyền máu."
Imaging appearances of gallbladder carcinoma could be categorized into three main groups.,"Hình ảnh ung thư túi mật biểu hiện 3 dạng, trong đó dạng dày thành túi mật chiếm ưu thế."
Methods: A Cross sectionnal description study was implemented at Cho Ray Hospital and the University Medical Center Ho Chi Minh City.,"Phương pháp: Nghiên cứu cắt ngang mô tả, thực hiện tại Bệnh viện Chợ Rẫy và Đại học Y Dược Thành phố Hồ Chí Minh."
Background: Perioperative fasting guidelines recommend oral carbohydrates 2 hours before procedures requiring anesthesia.,Đặt vấn đề: Phác đồ nhịn chu phẫu khuyến cáo uống dung dịch đường 2 giờ trước gây mê phẫu thuật.
Methods: Prospective study - non interventions.,Phương pháp: Tiền cứu không can thiệp.
"Mean IAP was 10, 4 ± 4, 8 mmHg (maximum 25 mmHg).","Áp lực khoang bụng trung bình là 10,4 ± 4,8 mmHg (cao nhất là 25 mmHg)."
"In the past, 93% patients died after having had exact diagnosis.","Trước đây, 93% bệnh nhân tử vong sau khi được chẩn đoán xác định bằng kết quả giải phẫu bệnh cho thấy có huyết khối."
Biliary strictures were noticed in 56 patients (28%).,Tỉ lệ hẹp đường mật là 28%.
There were no major accidents and complications.,Không có tai biến và biến chứng nặng.
This is the method of choice for treatment of retained biliary stones in patients with a T-tube in situ.,Đây là phương pháp tối ưu cho những bệnh nhân còn sỏi sau mổ có mang ống Kehr.
"Methods: This is a prospective, interventional case series study.","Phương pháp nghiên cứu: nghiên cứu can thiệp, tiến cứu, không nhóm chứng."
"PI < 1.01, the sensitivity was 91.3%, the sepecificity was 87, 5%.","Tại ngưỡng PI < 1,01, độ nhạy là 91,3%, độ đặc hiệu là 87,5%; RI < 0,55 có độ nhạy là 87,0%, độ đặc hiệu là 91,7%."
"About pathologic results of biopsies, they were tuberculous lesions (58.33%).","Về kết quả giải phẫu bệnh lý, 58,33% là sang thương lao."
"Background: Spinal infections are rare pathology but are an important clinical problem that often require aggressive medical therapy, and sometimes even surgery.","Đặt vấn đề: Nhiễm trùng cột sống là bệnh lý ít gặp nhưng là bệnh cảnh lâm sàng quan trọng, cần được điều trị tích cực."
Most cases were managed medically.,Hầu hết các trường hợp có thể điều trị nội khoa.
Experience managing some cases having placenta percreta with bladder invasion and previous cesarean section,Rút kinh nghiệm xử trí rau cài răng lược xâm lấn bàng quang trên vết mổ cũ
Background: Elderly patients with myocardial infarction (AMI) often have co-morbid conditions and therefore are treated with conservatively medical approach more frequently than non-elderly patients.,Đặt vấn đề: Bệnh nhân cao tuổi bị nhồi máu cơ tim (NMCT) cấp thường có nhiều bệnh đi kèm và do đó dễ được điều trị nội khoa bảo tồn hơn so với bệnh nhân không cao tuổi.
Reperfusion via PCI can be performed with elderly patients.,Điều trị tái tưới máu bằng phương pháp can thiệp động mạch vành qua có thể thực hiện được cho bệnh nhân cao tuổi.
"Conclusion: Revascularization surgery in patients with MMD carries a low risk, is effective at preventing future ischemic events, as well as future strokes and improves quality of life.","Kết luận: Phẫu thuật bắt cầu động mạch não ở bệnh lý Moyamoya với tỉ lệ tai biến thấp, có hiệu quả trong việc ngăn chặn nguy cơ nhồi máu não tái phát, cũng như giảm nguy cơ xuất huyết não và cải thiện chất lượng cuộc sống."
The main technique of surgery applied minimum functional endoscopic sinus surgery (miniFESS) and functional endoscopic sinus surgery (FESS).,Phẫu thuật chủ yếu được ứng dụng là phẫu thuật nội soi chức năng xoang tối thiểu và nội soi chức năng xoang.
Motarlity rate was 2.6%.,"Tỷ lệ tử vong chiếm 2,6%."
"Structure elucidations of isolated compounds were based on data of UV, MS and NMR spectra.","Cấu trúc các hợp chất phân lập được xác định bằng các dữ liệu phổ UV, MS và NMR."
Results: A total of 68 cases had criteria enough to participate the study.,Kết quả: Có 68 ca đủ tiêu chuẩn được đưa vào nghiên cứu.
Magnetic resonance imaging of spinal cord arteriovenous malformation,Đặc điểm hình ảnh cộng hưởng từ của dị dạng mạch máu tuỷ
Background: Spinal arteriovenous malformations are rate disorders.,Mở đầu: Dị dạng mạch máu tuỷ sống (DDMMT) là bệnh hiếm gặp.
"MRI finding included: Flow voidds 100%, Nidus 31.91%, blood vessel dilated 85.11%, swelling 87.23%, spinal cord expansion 44.68%, haemorrhage 21.28%.","Các dấu hiệu trên CHT bao gồm: Dấu hiệu trống do dòng chảy (DHTDDC) gặp 100%, búi dị dạng 31,91%, mạch máu dãn 85,11%, phù tuỷ 87,23%, lớn tuỷ 44,68%, xuất huyết nhu mô tuỷ 21,28%."
"Background: Primary malignant tumors of the appendix are very rare, found in 0.5% of appendicitis.","Đặt vấn đề: U ác tính ruột thừa là bệnh hiếm gặp, chiếm 0,5% bệnh viêm ruột thừa."
All were confirmed by anapathological results.,Tất cả đều được chẩn đoán nhờ giải phẫu bệnh lý (GPB).
"Methods: This was a cross-sectional study, including 60 patients with Parkinson's disease in International Neurosurgery Hospital, from Sep 2013 to Jun 2014.","Đối tượng và phương pháp nghiên cứu: nghiên cứu cắt ngang mô tả, trên 60 bệnh nhân Parkinson tại bệnh viện Chuyên Khoa Ngoại Thần Kinh Quốc Tế, từ 9-2013 đến 6-2014."
Percutaneous nephrolithotomy for recurrent renal stones,Tán sỏi qua da trong sỏi thận tái phát
"Background: Stress, anxiety, depression are common mental illnesses in life.","Đặt vấn đề: Stress, lo âu, trầm cảm là những vấn đề sức khoẻ tâm thần thường gặp trong cuộc sống."
Methods: Prospective and compare with control.,"Phương pháp nghiên cứu: Tiền cứu, so sánh-"
"Data collection comprised of pulses, systolic blood pressure, and diastolic blood pressure, air way pressure, SpO2 and ETCO2 complications within and after anaesthetize.","Thu thập các số liệu: mạch, huyết áp tối đa (HATĐ), huyết áp (HATT), áp lực đường thở, SpO2 và ETCO2, biến chứng trong và sau gây mê"
The mean operative time was 37.8 (20 - 70) min.,"Thời gian phẫu thuật trung bình 37,8 phút (20-70)."
Background: Many studies in our country and in the foreigners are practiced for peritonitis of appendix.,Tổng quan: Nhiều nghiên cứu trong nước cũng như ngoài nước đã thực hiện mổ nội soi viêm phúc mạc ruột thừa.
"Male / female is the same, the middle age 35 for male, 37 for female.","Tỉ lệ nam nữ gần bằng nhau, tuổi trung bình ở nam là 35, ở nữ là 37."
Purposes: A brain arteriovenous malformations (AVM) is an abnormal connection between the arteries and veins in the brain.,"Mục tiêu: Dị dạng động tĩnh mạch não là sự kết nối bất thường động mạch và tĩnh mạch, nguy cơ xuất huyết hàng năm lên đến 4% nếu không được điều trị."
"Keywords: Brain arteriovenous malformation, complete obliteration, endovascular intervention","Từ khoá: Dị dạng động tĩnh mạch não, tắc hoàn toàn, can thiệp nội mạch."
Background: Patients with end stage renal disease is increasing in community.,Mở đầu: Suy thận mãn có tỷ lệ ngày càng tăng trong cộng đồng.
The mean time operation: 94.85 minutes (75 - 125 m).,"Thời gian mổ trung bình 94,85 phút (75-125 p)."
100% patients has good flow and good quality.,Lưu lượng và việc sử dụng Graff tốt.
This is a method easy to use.,"Đây là phương pháp dễ chọc kim để CTNT, sớm sử dụng, đủ lưu lượng máu để CTNT."
"Methods: Analysis cross sectional study based on 935 pediatric patients admitted to Internal general departments, Internal special departments or Surgegy departments of Childrens Hospital 2 in 2020, at least 48 hours.","Đối tượng - Phương pháp nghiên cứu: Cắt ngang phân tích ở 935 bệnh nhi điều trị nội trú ít nhất 48 giờ tại 3 nhóm khoa Nội Tổng quát, nội chuyên khoa, ngoại của bệnh viện Nhi Đồng 2 năm 2020."
Ratio of exact height / length measurement is 47.5%.,"Tỉ lệ đo chiều cao chính xác 47,5%."
"The clinical presentations, diagnosis, operative procedures and results were analyzed.","Các dữ liệu được phân tích bao gồm đặc điểm lâm sàng, chẩn đoán, cách thức phẫu thuật và kết quả điều trị."
The choice of the operative procedure was according to the surgeon preference.,Lựa chọn phương pháp phẫu thuật tuỳ thuộc vào phẫu thuật viên.
Primary outcome measurement: Rate of transfusion peroperation.,Biến số nghiên cứu chính: tỷ lệ truyền máu trong mổ.
"Secondary outcome measurements: length of hospital stay, rate of transfusion postoperation; complications, mortality rate.","Biến số nghiên cứu phụ: Thời gian nằm viện, tỷ lệ truyền máu sau mổ, lượng máu mất sau mổ, các biến chứng hậu phẫu."
Methods: This is a prospective study in 1 year (July 2005 to June 2006) at Hoan My hospital.,Phương pháp: Đây là nghiên cứu tiền cứu trong thời gian 1 năm (7/2005 - 6/2006) tại Bệnh viện Hoàn Mỹ.
Mean time from admission to operation was 4.7 hours (range 1 - 10 hours).,"Thời gian trung bình từ lúc vào viện đến lúc mổ là 4,7 giờ (sớm nhất 1 giờ, muộn nhất 10 giờ)."
Mean operative time was 52 minutes (range 35 - 100 minutes).,Thời gian mổ trung bình là 52 phút (thay đổi từ 35 đến 100 phút).
Result is quite good with lower complication of urethral fistula.,Kết quả sau mổ khá tốt với biến chứng thấp.
Average of following up time was 17 months (6 - 28 months).,Thời gian theo dõi sau mổ 17 tháng (6 -28 tháng).
Sample size: 250.,Cỡ mẫu: 250 mẫu.
Criteria for screening: naïve patients were diagnosed with HIV infection following Vietnam Ministry of Health 2009 Guildelines for diagnosing and treatment HIV / AIDS (10).,"Tiêu chuẩn chọn mẫu: người bệnh được chẩn đoán xác định nhiễm HIV-1 theo tiêu chuẩn chẩn đoán của Bộ Y Tế 2009, chưa từng được điều trị thuốc kháng siêu vi."
Background: Gastric cancer is one of the most frequent causes of cancer-related deaths worldwide.,Mở đầu: Ung thư dạ dày là một trong những ung thư gây tử vong thường gặp trên thế giới.
The overall accuracy for lymph node staging was 44.4%.,"Độ chính xác của chụp cắt lớp điện toán xác định di căn hạch là 44,4%."
Overall accuracy in assessment of metastases was 72.2%.,"Độ chính xác của chụp cắt lớp điện toán phát hiện di căn xa là 72,2%."
"Positive predictive value: 83.6%, false positive rates: 10.5%, false negative rates: 36%.","Giá trị tiên đoán dương, tỷ lệ dương giả, tỷ lệ âm giả lần lượt là 83,6%, 10,5% và 36%."
"The mean of operative time is 60 minutes, it is long because of deficiency of specialized stool.","Thời gian mổ trung bình: 60 phút, do chưa có dụng cụ phẫu thuật chuyên dụng, nên thời gian mổ còn tương đối dài."
"Background - Objectives: Follow-up of CABG graft patency is very important, especially when a new CABG strategy is being adapted.","Đặt vấn đề - Mục tiêu nghiên cứu: Đánh giá bằng hình ảnh cầu nối mạch vành sau mổ bắc cầu là hết sức cần thiết, nhất là khi áp dụng chiến lược phẫu thuật bắc cầu mạch vành mới."
It is an appropriate method for following-up patients after CABG.,"Ứng dụng MSCT 64 lát cắt để theo dõi, đánh giá cầu nối cho bệnh nhân sau mổ là cần thiết và hợp lí."
"Keywords: 64-slice computed tomography, CABG, patency rates","Từ khoá: MSCT 64 lát cắt, phẫu thuật bắc cầu mạch vành, tỷ lệ thông cầu nối"
Selective angiography remains the gold standard but it has its disadvantages.,Chụp mạch vành chọn lọc qua thông tim can thiệp là tiêu chuẩn vàng nhưng vẫn có một vài hạn chế.
"114 bypasses were functional, 3 occluded and 3 with string-signs.","114 cầu nối thông chức năng, 3 cầu nối tắc, 12 cầu nối có dấu hiệu sợi dây."
Conclusions: 64-slice computed tomography is a noninvasive investigation which can provide good asessment of bypasses.,"Kết luận: MSCT 64 lát cắt là phương tiện không xâm lấn có thể cung cấp các hình ảnh cầunối mạch vành (thông, tắc, dấu hiệu sợi dây) rõ ràng."
Treament multiple myeloma with bortezomib at hematology and blood transfusion hospital,Điều trị đa u tuỷ với bortezomib tại bệnh viện truyền máu huyết học tp hcm
Survey methodology qualitative and quantitative active ingredient cefaclor,"Khảo sát phương pháp định tính, định lượng hoạt chất cefaclor"
"Study design: prospective, descriptive, cross-sectional study.","Thiết kế nghiên cứu: Tiền cứu, mô tả cắt ngang."
Added Bicarbonate and continuous dialysis to perform early.,Điều trị bù Bicarbonate tích cực và lọc máu liên tục cần thực hiện sớm.
Oliguria accounted 50% (3 cases).,Thiểu niệu có 3 ca (50%).
"Method: Prospective, descriptive, cross-sectional study.","Phương pháp: Tiền cứu, mô tả, cắt ngang."
"Background: Malaria is a communicable disease and to be a leading killer of the developing countries in tropic and subtrropic areas, especially in Africa.","Đặt vấn đề: Sốt rét (SR) là bệnh truyền nhiễm đồng thời là kẻ giết người dẫn đầu ở các quốc gia đang phát triển ở vùng nhiệt đới và cận nhiệt đới, đặc biệt châu Phi."
Methods: Cross-sectional study. 91 COPD patients were recruited from University Medical Center HCMC.,"Phương pháp nghiên cứu: Nghiên cứu cắt ngang, đối tượng nghiên cứu gồm 91 bệnh nhân BPTNMT đang điều trị tại Bệnh viện Đại học Y Dược TP Hồ Chí Minh."
Results: Prescriptions to comply with regulations are 92.5%.,"Kết quả: Đơn thuốc khảo sát thực hiện đúng theo quy chế kê đơn 92,5%."
Introduction: Rhabdomyolysis is a rare event of rapid destruction of skeletal muscle cells.,"Đại cương: Tiêu cơ vân, hiếm gặp, là sự huỷ hoại nhanh chóng của các tế bào cơ xương."
"Rhabdomyolysis is a well-known clinical syndrome of muscle injury associated with myoglobinuria, electrolyte abnormalities, and often-acute kidney injury (AKI).","Tiêu cơ vân là hội chứng lâm sàng của tổn thương cơ kết hợp với myoglobin niệu, rối loạn điện giải, và thường có tổn thương thận cấp."
Clinical condition is good.,Tình trạng LS thường tốt.
Surgical results are favorable.,Kết quả phẫu thuật tốt chiếm tỷ lệ cao.
M: F 2: 1.,Nam: nữ là 2:1.
"Good clinical grade 45, 1%.","Độ lâm sàng nhẹ 45,1%."
"Good surgical results 79, 7%.","Kết quả phẫu thuật tốt 79,7%."
Background: Blood transfusion is daily going on with a mass of quantities. The times of blood transfusion seem to be rising.,"Mở đầu: Truyền máu ngày càng phát triển, số lượng và số lần truyền máu ngày càng nhiều, dẫn đến hậu quảtạo kháng thể miễn dịch ở người nhận máu ngày càng tăng."
"Distributing flyers and remind-letters was done after one month and two months, respectively, from first health education.",GDSK được nhắc lại bằng phát tờ bướm sau một tháng và thư nhắc sau hai tháng kể từ lần GDSK đầu tiên.
The mandibular dimensions and growth rates were measured and analyzed.,Sự tăng trưởng của xương hàm dưới được đánh giá bằng sự thay đổi kích thước và tốc độ tăng trưởng theo 5 giai đoạn tuổi xương đốt sống cổ.
The proportion of microscopic point sending slides for checking quality is 100%.,100% số điểm KHV gửi lam kiểm tra lên tuyến trên.
The proportion of microscopes participated training course for malaria is 89% and number of microscopic have good and normal skill level in reading blood slides is 52% and 48%.,"KHV chủ yếu một mắt. Tỷ lệ XNV được đào tạo, tập huấn là 89%, kỹ năng và trình độ soi lam: Tốt 52,0%, Trung bình 48%."
"Methods: Prospective, cross-sectional descriptive.",Phương pháp: Tiền cứu mô tả cắt ngang.
Endoscopic pictures of the normal middle ear and some disease of the middle ear,Hình ảnh tai giữa bình thường và bệnh lý qua nội soi
Objective: collecting endoscopic pictures of the normal middle ear as well as some disease of the middle ear.,Mục tiêu: tập hợp các hình ảnh bình thường trong tai giữa cũng như một số bệnh lý của tai giữa qua ONS.
"Results: many endoscopic pictures, including the pictures of endoscopic anatomy of the middle ear, some pictures of the disease of the middle ear, were collected.","Kết quả: hình ảnh tai giữa qua NS, bao gồm các cấu trúc giải phẫu hay gặp trong tai giữa cũng như các bệnh lý trong tai giữa."
Conclusion: Our 106 RPLDN were performed successfully on donors and recipients.,"Kết luận: Qua 106 TH dùng RPLDN tại BVCR nhận thấy an toàn, hiệu quả và khả thi với ê kíp Việt Nam."
"Background: Laparoscopic left lateral hepatectomy is relatively simple, with no need of reconstruction, can be applied popularly.","Đặt vấn đề: Phẫu thuật cắt thuỳ trái gan nội soi tương đối đơn giản, không cần tạo hình lại, có thể ứng dụng rộng rãi."
"We need more researches evaluating the feasibility, safety and effects of this procedure.","Chúng ta cần có nghiên cứu đánh giá tính khả thi, an toàn và hiệu quả của phẫu thuật này."
Mean operation time is 98.84 ± 34.29 minutes (40 - 180).,"Thời gian mổ trung bình 98,84 ± 34,29 phút (40-180)."
Diagnosis is based on the MRI and DSA.,Chẩn đoán dựa vào chụp cộng hưởng từ và chụp mạch máu não.
Surgical treatment have good result.,Điều trị phẫu thuật đem lại kết quả tốt.
"Keywords: angular measurement, linear measurement, sagittal skeletal pattern, cephalometric analysis.","Từ khoá: Số đo góc, số đo kích thước, tương quan xương theo chiều trước-sau, phân tích phim sọ nghiêng."
"Basic evaluation such as history, examination, ultrasound and excretory urography were performed.","Thực hiện hỏi bệnh sử, thăm khám, siêu âm bụng, chụp UIV cho các bệnh nhân."
The stone free rate was 80.2%.,"Tỷ lệ sạch sỏi là 80,2%."
Conclusions: PBL is an effective learning method. It can get students' interest.,Kết luận: Phương pháp PBL là một phương pháp được học sinh yêu thích và đem lại những hiệu quả tích cực trên HS trên tất cả các lĩnh vực khảo sát.
"Keywords: Problem, problem based learning, skill.","Từ khoá: Vấn đề, học tập dựa trên vấn đề, kỹ năng."
- The development of students' problem solving skill.,Sự phát triển kỹ năng giải quyết vấn đề.
Methods: A prospective cohort study was conducted to determine the effects of this intervention.,"Phương pháp: Nghiên cứu đoàn hệ, có nhóm đối chứng được thực hiện."
The conditioning regimen was BuCy (Busulfan and Cyclophosphamide).,Điều kiện hoá trước ghép với phác đồ BuCy (Busulfan và Cyclophosphamide).
"Keywords: Quality of life, End Stage Renal Disease.","Từ khoá: Chất lượng cuộc sống, bệnh thận giai đoạn cuối."
"There was one case of sepsis, no septic shock or death recorded in our study.","Nghiên cứu ghi nhận 1 trường hợp nhiễm khuẩn huyết, không ghi nhân biến chứng choáng choáng nhiễm khuẩn và tử vong."
"These urine samples were evaluated by urinalysis, gram stain, culture and antibiogram.","Các mẫu nước tiểu này được đánh giá qua xét nghiệm tổng phân tích nước tiểu, soi tươi – nhuộm gram, nuôi cấy vi khuẩn và xác định độ nhạy cảm với kháng sinh."
Background: Colon interposition using the left colon is a treatment of esophageal strictures.,Đặt vấn đề: Phẫu thuật colon bypass dùng đại tràng trái là phẫu thuật đã được sử dụng nhiều để điều trị hẹp thực quản do hoá chất.
Both cases used the left colic graft and the cervical esophageal anastomosis.,02 trường hợp đều dùng đại tràng trái và sử dụng miệng nối thực quản cổ.
Swallowing was improved after surgery.,Chức năng nuốt được cải thiện sau phẫu thuật.
